interval,bitrate
0.00-1.00,17.8
1.00-2.00,16.6
2.00-3.00,17.3
3.00-4.00,19.2
4.00-5.00,19.5
5.00-6.00,18.4
6.00-7.00,19.0
7.00-8.00,19.2
8.00-9.00,17.3
9.00-10.00,19.2
0.00-10.00,18.6
0.00-10.00,18.6
0.00-1.00,18.4
1.00-2.00,17.2
2.00-3.00,19.1
3.00-4.00,17.2
4.00-5.00,16.1
5.00-6.00,17.0
6.00-7.00,11.3
7.00-8.00,14.0
8.00-9.00,19.0
9.00-10.00,8.8
0.00-10.00,15.0
0.00-10.00,15.0
0.00-1.00,14.7
1.00-2.00,8.21
2.00-3.00,18.1
3.00-4.00,12.5
4.00-5.00,19.6
5.00-6.00,29.3
6.00-7.00,21.3
7.00-8.00,18.6
8.00-9.00,20.9
9.00-10.00,20.5
0.00-10.00,17.9
0.00-10.00,17.9
0.00-1.00,17.8
1.00-2.00,18.8
2.00-3.00,18.8
3.00-4.00,18.8
4.00-5.00,13.8
5.00-6.00,15.9
6.00-7.00,20.7
7.00-8.00,19.7
8.00-9.00,15.7
9.00-10.00,15.7
0.00-10.00,17.6
0.00-10.00,17.6
0.00-1.00,12.3
1.00-2.00,14.9
2.00-3.00,17.3
3.00-4.00,15.7
4.00-5.00,16.2
5.00-6.00,16.9
6.00-7.00,19.1
7.00-8.00,19.7
8.00-9.00,19.8
9.00-10.00,19.3
0.00-10.00,17.8
0.00-10.00,17.8
0.00-1.00,20.7
1.00-2.00,20.2
2.00-3.00,17.9
3.00-4.00,20.3
4.00-5.00,20.3
5.00-6.00,20.4
6.00-7.00,20.6
7.00-8.00,20.1
8.00-9.00,20.2
9.00-10.00,20.5
0.00-10.00,20.1
0.00-10.00,20.1
0.00-1.00,20.9
1.00-2.00,19.8
2.00-3.00,20.1
3.00-4.00,18.1
4.00-5.00,19.2
5.00-6.00,19.1
6.00-7.00,20.3
7.00-8.00,20.5
8.00-9.00,20.1
9.00-10.00,20.6
0.00-10.00,20.0
0.00-10.00,20.0
0.00-1.00,19.8
1.00-2.00,19.2
2.00-3.00,19.5
3.00-4.00,19.6
4.00-5.00,19.5
5.00-6.00,19.9
6.00-7.00,19.7
7.00-8.00,19.3
8.00-9.00,19.6
9.00-10.00,19.7
0.00-10.00,19.7
0.00-10.00,19.7
0.00-1.00,19.1
1.00-2.00,20.8
2.00-3.00,20.2
3.00-4.00,20.2
4.00-5.00,20.3
5.00-6.00,20.4
6.00-7.00,20.6
7.00-8.00,20.7
8.00-9.00,19.3
9.00-10.00,20.2
0.00-10.00,20.1
0.00-10.00,20.1
0.00-1.00,20.5
1.00-2.00,20.8
2.00-3.00,20.3
3.00-4.00,20.4
4.00-5.00,20.9
5.00-6.00,20.2
6.00-7.00,20.7
7.00-8.00,19.6
8.00-9.00,20.5
9.00-10.00,20.7
0.00-10.00,20.3
0.00-10.00,20.3
